ApsimVersion = 7.10 r32c72e495ed39966b5eaf17f9fbca83a93144f5b
Title = Sorghum_Gatton_Tiller_x_Density_1 outputfile_daily
           date DaysAfterSowing         Leafno            lai        tillers   tillersAdded      linearLAI calculatedTillers         Supply         Demand       sw_dep()            SLA         maxSLA     ll15_dep()      dul_dep()        WaterSD        Biomass          yield        GrainNo          stage     biomass_wt   GrainGreenWt  RachisGreenWt    StemGreenWt      GrainSize LeafSenescedWt TillerNoFertile           TPLA           SPLA        DeltaTT    LeafGreenWt       DeltaLAI  DeltaGreenN()            lai           slai           GPLA         reeves
   (dd/mm/yyyy)          (days)       (leaves)        (m2/m2)             ()             ()             ()                ()             ()             ()           (mm)        (cm2/g)        (cm2/g)           (mm)           (mm)             ()        (kg/ha)        (kg/ha)   (grains/m^2)             ()         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)  (g/1000grain)        (g/m^2) (tillers/plant)           (m2)           (m2)          (oCd)        (g/m^2)        (m2/m2)        (g/m^2)        (m2/m2)        (m2/m2)           (m2)             ()
     12/12/1998              51         13.520          2.209          4.400          5.000          1.022             6.697     423551.794      19952.209        713.234        182.324        165.798        486.000        753.000          1.000         2042.7            0.0          0.000          5.792        204.272           0.00          24.10          59.02          0.000           0.00           0.000      11044.609          0.000         12.040         121.15          0.164           0.35          2.209          0.000          0.000        189.924
     13/12/1998              52         13.814          2.355          4.100          5.000          1.104             6.697     423551.794      19952.209        710.220        183.472        160.999        486.000        753.000          1.000         2194.3            0.0          0.000          5.832        219.426           0.00          26.48          64.57          0.000           0.00           0.000      11777.158          0.000         11.935         128.38          0.147           0.34          2.355          0.000          0.000        184.220
     14/12/1998              53         14.411          2.528          4.000          5.000          1.178             6.697     423551.794      19952.209        705.055        182.293        151.247        486.000        753.000          1.000         2415.0            0.0          0.000          5.876        241.500           0.00          30.01          72.81          0.000           0.00           0.000      12639.496          0.000         13.445         138.67          0.172           0.39          2.528          0.000          0.000        178.888
     15/12/1998              54         15.083          2.707          3.700          5.000          1.264             6.697     423551.794      19952.209        699.748        182.871        150.000        486.000        753.000          1.000         2625.6            0.0          0.000          5.917        262.557           0.00          33.52          80.99          0.000           0.00           0.000      13536.789          0.000         12.458         148.05          0.179           0.36          2.707          0.000          0.000        168.052
     16/12/1998              55         15.706          2.858          3.400          5.000          1.354             6.697     423551.794      19952.209        748.154        180.838        150.000        486.000        753.000          1.000         2862.6            0.0          0.000          5.962        286.259           0.00          37.62          90.57          0.000           0.00           0.000      14292.475          0.000         13.632         158.07          0.151           0.40          2.858          0.000          0.000        155.845
     17/12/1998              56         16.387          3.011          3.400          5.000          1.429             6.697     423551.794      19952.209        749.000        180.270        150.000        486.000        753.000          1.000         3084.8            0.0          0.000          6.000        308.477           0.00          41.60          99.85          0.000           0.00           0.000      15055.121          0.000         13.655         167.03          0.153           0.40          3.011          0.000          0.000        150.000
     18/12/1998              57         17.070          3.164          3.400          5.000          1.506             6.697     423551.794      19952.209        745.738        183.441        150.000        486.000        753.000          1.000         3226.5            0.0          0.000          6.105        322.647           0.00          44.22         105.97          0.000           0.00           0.000      15817.634          0.000         15.700         172.46          0.153           0.29          3.164          0.000          0.000        150.000
     19/12/1998              58         17.102          3.279          3.400          5.000          1.582             6.697     423551.794      19952.209        759.878        182.671        150.000        486.000        753.000          1.000         3420.9            0.0          0.000          6.187        342.090           0.00          47.93         114.63          0.000           0.00           0.000      16397.424          0.000         14.010         179.53          0.116           0.32          3.279          0.000          0.000        150.000
     20/12/1998              59         17.102          3.369          3.400          5.000          1.640             6.697     423551.794      19952.209        778.576        180.332        150.000        486.000        753.000          1.000         3621.6            0.0          0.000          6.270        362.162           0.00          51.77         123.58          0.000           0.00           0.000      16844.428          0.000         14.091         186.82          0.089           0.30          3.369          0.000          0.000        150.000
     21/12/1998              60         17.102          3.458          3.400          5.000          1.684             6.697     423551.794      19952.209        786.255        179.033        150.000        486.000        753.000          1.000         3796.9            0.0          0.000          6.359        379.685           0.00          55.12         131.39          0.000           0.00           0.000      17292.483          0.000         15.219         193.18          0.090           0.25          3.458          0.000          0.000        150.000
     22/12/1998              61         17.102          3.545          3.400          5.000          1.729             6.697     423551.794      19952.209        778.850        177.232        150.000        486.000        753.000          1.000         3986.0            0.0          0.000          6.440        398.601           0.00          58.73         139.82          0.000           0.00           0.000      17727.003          0.000         13.615         200.04          0.087           0.23          3.545          0.000          0.000        150.000
     23/12/1998              62         17.102          3.631          3.400          5.000          1.773             6.697     423551.794      19952.209        770.142        175.482        150.000        486.000        753.000          1.000         4175.6            0.0          0.000          6.503        417.563           0.00          62.36         148.28          0.000           0.00           0.000      18155.883          0.000         10.780         206.93          0.086           0.25          3.631          0.000          0.000        150.000
     24/12/1998              63         17.102          3.700          3.400          5.000          1.816             6.697     423551.794      19952.209        764.474        173.059        150.000        486.000        753.000          1.000         4365.7            0.0          0.000          6.579        436.568           0.00          65.99         156.75          0.000           0.00           0.000      18502.135          0.000         12.940         213.82          0.069           0.21          3.700          0.000          0.000        150.000
     25/12/1998              64         17.102          3.767          3.400          5.000          1.850             6.697     423551.794      19952.209        769.150        169.778        150.000        486.000        753.000          1.000         4587.4            0.0          0.000          6.652        458.742           0.00          70.23         166.64          0.000           0.00           0.000      18834.635          0.000         12.482         221.87          0.067           0.27          3.767          0.000          0.000        150.000
     26/12/1998              65         17.102          3.823          3.400          5.000          1.883             6.697     423551.794      19952.209        758.687        167.043        150.000        486.000        753.000          1.000         4817.0            0.0          0.000          6.728        481.701           0.00          75.02         177.83          0.000           0.00           0.000      19113.526          0.000         12.884         228.85          0.056           0.28          3.823          0.000          0.000        150.000
     27/12/1998              66         17.102          3.897          3.400          5.000          1.911             6.697     423551.794      19952.209        743.980        163.643        150.000        486.000        753.000          1.000         5081.7            0.0          0.000          6.795        508.172           0.00          80.17         189.85          0.000           0.00           0.000      19485.563          0.000         11.299         238.15          0.074           0.39          3.897          0.000          0.000        150.000
     28/12/1998              67         17.102          3.943          3.400          5.000          1.949             6.697     423551.794      19952.209        732.274        161.683        150.000        486.000        753.000          1.000         5352.7            0.0          0.000          6.865        535.272           0.00          86.59         204.82          0.000           0.00           0.000      19714.152          0.000         12.013         243.86          0.046           0.34          3.943          0.000          0.000        150.000
     29/12/1998              68         17.102          3.969          3.400          5.000          1.971             6.697     423551.794      19952.209        726.980        160.605        150.000        486.000        753.000          1.000         5553.9            0.0          0.000          6.954        555.386           0.00          91.65         216.62          0.000           0.00           0.000      19844.561          0.000         15.120         247.12          0.026           0.13          3.969          0.000          0.000        150.000
     30/12/1998              69         17.102          3.994          3.400          5.000          1.984             6.697     423551.794      19952.209        723.598        161.620        150.000        486.000        753.000          1.000         5703.3            0.0          0.000          7.000        570.332           0.00          91.65         231.56          0.000           0.00           0.000      19969.912          0.000         15.141         247.12          0.025           0.09          3.994          0.000          0.000        150.000
     31/12/1998              70         17.102          4.019          3.400          5.000          1.997             6.697     423551.794      19952.209        722.439        162.636        150.000        486.000        753.000          1.000         5798.2            0.0          0.000          7.331        579.821           0.00          91.65         241.05          0.000           0.00           0.000      20095.455          0.000         14.120         247.12          0.025           0.03          4.019          0.000          0.000        150.000
     01/01/1999              71         17.102          4.020          3.400          5.000          2.010             6.697     423551.794      19952.209        727.600        162.669        150.000        486.000        753.000          1.000         5865.3            0.0          0.000          7.535        586.535           0.00          91.65         247.77          0.000           0.00           0.000      20099.582          0.000         11.030         247.12          0.001           0.02          4.020          0.000          0.000        150.000
     02/01/1999              72         17.102          4.020          3.400          5.000          2.010             6.697     423551.794      19952.209        759.099        162.669        150.000        486.000        753.000          1.000         5935.1            0.0          0.000          7.730        593.508           0.00          91.65         254.74          0.000           0.00           0.000      20099.582          0.000         10.285         247.12          0.000           0.01          4.020          0.000          0.000        150.000
     03/01/1999              73         17.102          4.020          3.400          5.000          2.010             6.697     423551.794      19952.209        785.621        162.669        150.000        486.000        753.000          1.000         6074.4            0.0          0.000          7.949        607.435           0.00          91.65         268.67          0.000           0.00           0.000      20099.582          0.000         12.255         247.12          0.000           0.06          4.020          0.000          0.000        150.000
     04/01/1999              74         17.102          4.020          3.400          5.000          2.010             6.697     423551.794      19952.209        779.975        162.669        150.000        486.000        753.000          1.000         6221.0            0.0       3013.296          8.000        622.100           0.00          91.65         283.33          0.000           0.00           0.000      20099.582          0.000         13.500         247.12          0.000           0.06          4.020          0.000          0.000        150.000
